procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 22836164 374460 4750308    0    0    48    24  160  267  9  4 86  0  0
 2  1      0 22434148 375732 4763756    0    0     0  7280 14869 27702  5  5 88  3  0
29  0      0 21165888 377060 4764196    0    0     0  8312 25224 25650  7  9 81  3  0
 3  0      0 20937144 377060 4766088    0    0     0     0 23960 88290  7 14 80  0  0
 1  0      0 20812464 377060 4768340    0    0     0     0 31526 51939 12  8 81  0  0
 1  0      0 20693572 377060 4768808    0    0     0     0 38730 89952  6  8 87  0  0
 3  0      0 20509492 377128 4768284    0    0     0   468 26736 55592  1  7 92  0  0
 5  1      0 19908216 377632 4780284    0    0   128  6116 33109 52071  8  7 84  1  0
 1  0      0 19252268 379696 4780216    0    0     0 11892 40617 72372 19  4 73  4  0
 2  0      0 19036288 379696 4780392    0    0     0    20 31055 55084  7  3 90  0  0
 0  0      0 19120144 379696 4777256    0    0     0     0 29032 47267  4  1 96  0  0
 1  0      0 19074304 379696 4780412    0    0     0     0 32435 86522 11  4 85  0  0
 1  0      0 19082232 379720 4780460    0    0     0   148 22759 44744  7  0 93  0  0
 1  0      0 19085212 379720 4780484    0    0     0   216 23566 46251  7  0 92  0  0
 2  0      0 19059772 379756 4800220    0    0  9408   144 24309 42932 10  0 89  0  0
